"x","parm_id","emmean.ols","SE.ols","df.ols","asymp.LCL.ols","asymp.UCL.ols","emmean.pca","SE.pca","df.pca","asymp.LCL.pca","asymp.UCL.pca"
19,"N",-0.731803511419689,0.0576925545841352,Inf,-0.844878840580706,-0.618728182258673,0.272018941519686,0.0679524232074985,Inf,0.138834639370765,0.405203243668607
19.5,"N",-0.778678474515645,0.0581524195544086,Inf,-0.892655122456149,-0.664701826575142,0.282539655675933,0.0684512773535869,Inf,0.148377617367141,0.416701693984726
20,"N",-0.825553437611601,0.0586332377556141,Inf,-0.940472471909579,-0.710634403313623,0.29306036983218,0.0689731908847699,Inf,0.157875399799225,0.428245339865135
1,"S",-0.290510999521667,0.0582710314046898,Inf,-0.404720122416861,-0.176301876626472,-0.0238274212515487,0.0685801685253692,Inf,-0.15824208161496,0.110587239111862
1.5,"S",-0.273511420995522,0.0577961529532701,Inf,-0.3867897992289,-0.160233042762144,-0.019890153466051,0.0680649517468037,Inf,-0.153295007499243,0.113514700567141
2,"S",-0.256511842469377,0.0573448086601844,Inf,-0.368905602143679,-0.144118082795076,-0.0159528856805533,0.06757557814014,Inf,-0.1483985850697,0.116492813708593
2.5,"S",-0.239512263943233,0.056917558390996,Inf,-0.351068628477541,-0.127955899408925,-0.0120156178950556,0.0671126130396245,Inf,-0.143553922361093,0.119522686570982
3,"S",-0.222512685417088,0.0565149485973016,Inf,-0.333279949255932,-0.111745421578245,-0.00807835010955784,0.0666766065452595,Inf,-0.138762097549614,0.122605397330498
3.5,"S",-0.205513106890944,0.0561375094349826,Inf,-0.315540603565287,-0.0954856102166003,-0.00414108232406011,0.0662680907762481,Inf,-0.134024153569737,0.125741988921617
4,"S",-0.188513528364799,0.0557857518100616,Inf,-0.29785159276301,-0.0791754639665881,-0.000203814538562386,0.0658875770780771,Inf,-0.1293410926402,0.128933463563076
4.5,"S",-0.171513949838654,0.055460164382273,Inf,-0.28021387460458,-0.0628140250727282,0.00373345324693534,0.0655355532109313,Inf,-0.124713870753398,0.132180777247269
5,"S",-0.15451437131251,0.0551612105600268,Inf,-0.262628357353793,-0.0464003852712267,0.00767072103243306,0.0652124805498059,Inf,-0.120143392187705,0.135484834252571
5.5,"S",-0.137514792786365,0.0548893255235514,Inf,-0.245095893948221,-0.0299336916245091,0.0116079888179308,0.0649187913289179,Inf,-0.115630504106619,0.138846481742481
6,"S",-0.12051521426022,0.0546449133154871,Inf,-0.227617276296888,-0.0134131522235525,0.0155452566034285,0.0646548859647058,Inf,-0.111175991311939,0.142266504518796
6.5,"S",-0.103515635734076,0.0544283440399183,Inf,-0.210193229790471,0.00316195832231951,0.0194825243889262,0.064421130492746,Inf,-0.106780571220211,0.145745619998063
7,"S",-0.0865160572079311,0.0542399512116507,Inf,-0.192824408105976,0.019792293690114,0.023419792174424,0.0642178541542028,Inf,-0.102444889132259,0.149284473481107
7.5,"S",-0.0695164786817865,0.0540800292973359,Inf,-0.175511388387436,0.0364784310238628,0.0273570599599217,0.064045347166912,Inf,-0.0981695138645901,0.152883633784433
8,"S",-0.0525169001556418,0.0539488314887642,Inf,-0.15825466688164,0.0532208665703565,0.0312943277454194,0.0639038587148136,Inf,-0.0939549338087512,0.15654358929959
8.5,"S",-0.0355173216294972,0.0538465677462303,Inf,-0.141054655103205,0.0700200118442103,0.0352315955309171,0.0637935951871988,Inf,-0.0898015534803202,0.160264744542154
9,"S",-0.0185177431033525,0.0537734031463471,Inf,-0.123911676596346,0.0868761903896407,0.0391688633164149,0.0637147186961246,Inf,-0.0857096906130901,0.16404741724592
9.5,"S",-0.00151816457720788,0.0537294565641018,Inf,-0.106825964351757,0.103789635197341,0.0431061311019126,0.0636673458964417,Inf,-0.0816795738463671,0.167891836050192
10,"S",0.0154814139489368,0.0537147997134099,Inf,-0.0897976589261291,0.120760486824003,0.0470433988874103,0.0636515471282574,Inf,-0.077711341044228,0.171798138819049
10.5,"S",0.0324809924750814,0.0537294565641018,Inf,-0.0728268072994672,0.13778879224963,0.050980666672908,0.0636673458964417,Inf,-0.0738050382753716,0.175766371621188
11,"S",0.049480571001226,0.0537734031463471,Inf,-0.0559133624917671,0.154874504494219,0.0549179344584058,0.0637147186961246,Inf,-0.0699606194710993,0.179796488387911
11.5,"S",0.0664801495273707,0.0538465677462303,Inf,-0.0390571839463368,0.172017483001078,0.0588552022439035,0.0637935951871988,Inf,-0.0661779467673339,0.183888351255141
12,"S",0.0834797280535153,0.0539488314887642,Inf,-0.022258038672483,0.189217494779514,0.0627924700294012,0.0639038587148136,Inf,-0.0624567915247695,0.188041731583572
12.5,"S",0.10047930657966,0.0540800292973359,Inf,-0.00551560312598935,0.206474216285309,0.066729737814899,0.064045347166912,Inf,-0.058796836009613,0.192256311639411
13,"S",0.117478885105805,0.0542399512116507,Inf,0.0111705342077595,0.22378723600385,0.0706670056003967,0.0642178541542029,Inf,-0.0551976757062869,0.19653168690708
13.5,"S",0.134478463631949,0.0544283440399183,Inf,0.027800869575554,0.241156057688344,0.0746042733858944,0.0644211304927461,Inf,-0.051658822223243,0.200867368995032
14,"S",0.151478042158094,0.0546449133154871,Inf,0.044375980121426,0.258580104194762,0.0785415411713921,0.0646548859647059,Inf,-0.0481797067439757,0.20526278908676
14.5,"S",0.168477620684238,0.0548893255235514,Inf,0.0608965195223826,0.276058721846094,0.0824788089568898,0.064918791328918,Inf,-0.0447596839676605,0.20971730188144
15,"S",0.185477199210383,0.0551612105600267,Inf,0.0773632131691002,0.293591185251666,0.0864160767423876,0.065212480549806,Inf,-0.0413980364777509,0.214230189962526
15.5,"S",0.202476777736528,0.055460164382273,Inf,0.0937768529706017,0.311176702502454,0.0903533445278853,0.0655355532109314,Inf,-0.0380939794724485,0.218800668528219
16,"S",0.219476356262672,0.0557857518100616,Inf,0.110138291864462,0.328814420660883,0.094290612313383,0.0658875770780773,Inf,-0.0348466657882552,0.223427890415021
16.5,"S",0.236475934788817,0.0561375094349825,Inf,0.126448438114474,0.34650343146316,0.0982278800988807,0.0662680907762483,Inf,-0.0316551911467968,0.228110951344558
17,"S",0.253475513314962,0.0565149485973016,Inf,0.142708249476118,0.364242777153805,0.102165147884378,0.0666766065452596,Inf,-0.028518599555678,0.232848895324435
17.5,"S",0.270475091841106,0.056917558390996,Inf,0.158918727306799,0.382031456375414,0.106102415669876,0.0671126130396246,Inf,-0.0254358887961613,0.237640720135914
18,"S",0.287474670367251,0.0573448086601844,Inf,0.175080910692949,0.399868430041553,0.110039683455374,0.0675755781401402,Inf,-0.022406015933773,0.242485382844521
18.5,"S",0.304474248893396,0.0577961529532701,Inf,0.191195870660018,0.417752627126773,0.113976951240872,0.0680649517468039,Inf,-0.0194279027923207,0.247381805274064
19,"S",0.32147382741954,0.0582710314046898,Inf,0.207264704524346,0.435682950314735,0.117914219026369,0.0685801685253694,Inf,-0.016500441337042,0.252328879389781
19.5,"S",0.338473405945685,0.0587688735180352,Inf,0.223288530438346,0.453658281453024,0.121851486811867,0.0691206505828334,Inf,-0.0136224989184638,0.257325472542198
20,"S",0.35547298447183,0.059289100828358,Inf,0.239268482172484,0.471677486771175,0.125788754597365,0.0696858100503466,Inf,-0.0107929233348138,0.262370432529544
